Standard Name,FMA ID,Organ,Url
Sublinguals,59791,Sublingual glands combined,http://purl.org/sig/ont/fma/fma59791
Sublingual_L,59805,Sublingual gland Left,http://purl.org/sig/ont/fma/fma59805
Sublingual_R,59804,Sublingual gland Right,http://purl.org/sig/ont/fma/fma59804
Submand_L,59803,Submandibular gland Left,http://purl.org/sig/ont/fma/fma59803
Submand_R,59802,Submandibular gland Right,http://purl.org/sig/ont/fma/fma59802
A_SMA,14749,Superior mesenteric artery,http://purl.org/sig/ont/fma/fma14749
V_SVC,4720,Superior vena cava,http://purl.org/sig/ont/fma/fma4720
PubicSymphysis,16950,Symphysis pubis,http://purl.org/sig/ont/fma/fma16950
VB_T1,9165,Thoracic Vertebra,http://purl.org/sig/ont/fma/fma9165
VB_T2,9187,Thoracic Vertebra,http://purl.org/sig/ont/fma/fma9187
VB_T3,9209,Thoracic Vertebra,http://purl.org/sig/ont/fma/fma9209
VB_T4,9248,Thoracic Vertebra,http://purl.org/sig/ont/fma/fma9248
VB_T5,9922,Thoracic Vertebra,http://purl.org/sig/ont/fma/fma9922
VB_T6,9945,Thoracic Vertebra,http://purl.org/sig/ont/fma/fma9945
VB_T7,9968,Thoracic Vertebra,http://purl.org/sig/ont/fma/fma9968
VB_T8,9991,Thoracic Vertebra,http://purl.org/sig/ont/fma/fma9991
VB_T9,10014,Thoracic Vertebra,http://purl.org/sig/ont/fma/fma10014
VB_T10,10037,Thoracic Vertebra,http://purl.org/sig/ont/fma/fma10037
VB_T11,10059,Thoracic Vertebra,http://purl.org/sig/ont/fma/fma10059
VB_T12,10081,Thoracic Vertebra,http://purl.org/sig/ont/fma/fma10081
Teeth,314001,Teeth ,http://purl.org/sig/ont/fma/fma314001
TMJs,54832,Temporomandibular joint,http://purl.org/sig/ont/fma/fma54832
TMJ_L,54834,Temporomandibular joint left,http://purl.org/sig/ont/fma/fma54834
TMJ_R,54833,Temporomandibular joint right,http://purl.org/sig/ont/fma/fma54833
TemporalLobe_L,72972,Temporal cerebral lobe Left,http://purl.org/sig/ont/fma/fma72972
TemporalLobe_R,72971,Temporal cerebral lobe Right,http://purl.org/sig/ont/fma/fma72971
Testis_L,7212,Testis Left,http://purl.org/sig/ont/fma/fma7212
Testis_R,7211,Testis Right,http://purl.org/sig/ont/fma/fma7211
ThoracicDuct,5031,Thoracic Duct,http://purl.org/sig/ont/fma/fma5031
Thyroid,9603,Thyroid,http://purl.org/sig/ont/fma/fma9603
ThyroidCartilage,55099,Thyroid cartilage,http://purl.org/sig/ont/fma/fma55099
Trachea,7394,Trachea,http://purl.org/sig/ont/fma/fma7394
Ureter_L,17888,Ureter Left,http://purl.org/sig/ont/fma/fma17888
Ureter_R,17887,Ureter Right,http://purl.org/sig/ont/fma/fma17887
Urethra,19667,Urethra,http://purl.org/sig/ont/fma/fma19667
Uterus,17558,Uterus,http://purl.org/sig/ont/fma/fma17558
Vagina,19949,Vagina,http://purl.org/sig/ont/fma/fma19949
Vulva,20462,Vulva (includes mons pubis),http://purl.org/sig/ont/fma/fma20462
Tongue,54640,Tongue,http://purl.org/sig/ont/fma/fma54640
Larynx,55097,Larynx,http://purl.org/sig/ont/fma/fma55097
