Standard Name,FMA ID,TS Name,Url
VB_C1_TS,12519,vertebrae_C1,
VB_C2_TS,12520,vertebrae_C2,
VB_C3_TS,12521,vertebrae_C3,
VB_C4_TS,12522,vertebrae_C4,
VB_C5_TS,12523,vertebrae_C5,
VB_C6_TS,12524,vertebrae_C6,
VB_C7_TS,12525,vertebrae_C7,
VB_L1_TS,13072,vertebrae_L1,
VB_L2_TS,13073,vertebrae_L2,
VB_L3_TS,13074,vertebrae_L3,
VB_L4_TS,13075,vertebrae_L4,
VB_L5_TS,13076,vertebrae_L5,
VB_S1_TS,13077,vertebrae_S1,
VB_T1_TS,9165,vertebrae_T1,
VB_T10_TS,10037,vertebrae_T10,
VB_T11_TS,10059,vertebrae_T11,
VB_T12_TS,10081,vertebrae_T12,
VB_T2_TS,9187,vertebrae_T2,
VB_T3_TS,9209,vertebrae_T3,
VB_T4_TS,9248,vertebrae_T4,
VB_T5_TS,9922,vertebrae_T5,
VB_T6_TS,9945,vertebrae_T6,
VB_T7_TS,9968,vertebrae_T7,
VB_T8_TS,9991,vertebrae_T8,
VB_T9_TS,10014,vertebrae_T9,
Vertebra_TS,11945,vertebrae_body,
VertebraCervical_TS,,vertebrae_cervical,
VertebraLumbar_TS,,vertebrae_lumbar,
VertebraThoracic_TS,,vertebrae_thoracic,
