7310,cGy,ISO7310,
6650,cGy,ISO6650,
6270,cGy,ISO6270,
6080,cGy,ISO6080,
5700,cGy,ISO5700,
5130,cGy,ISO5130,
4788,cGy,ISO4788,
4750,cGy,ISO4750,
2850,cGy,ISO2850,
1900,cGy,ISO1900,
0760,cGy,ISO0760,
50,%,ISOp_50,
